GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.itp.factory.management.core,QBaseException,120,0,0,0,13,0,4,0,4,0
demo,com.itp.factory.management.core,QBaseEntity,60,0,0,0,9,0,4,0,4,0
demo,com.itp.factory.management.core,DefaultRequestHeaders,65,0,4,0,16,0,5,0,3,0
demo,com.itp.factory.management.core,BaseEntity,14,6,0,0,6,3,4,1,4,1
demo,com.itp.factory.management.core,LoggingHandler,108,3,0,0,26,1,6,1,6,1
demo,com.itp.factory.management.core,BaseException,173,4,2,0,47,1,16,1,15,1
demo,com.itp.factory.management.core,BaseResponseEntityExceptionHandler,421,22,14,0,79,7,21,2,13,2
demo,com.itp.factory.management.core,FXDefaultException,24,0,0,0,8,0,4,0,4,0
demo,com.itp.factory.management.core,BaseRepo,8,0,0,0,3,0,2,0,2,0
demo,com.itp.factory.management.core,LogginAuthentcation,18,0,2,0,7,0,5,0,4,0
demo,com.itp.factory.management.core,LoggerRequest,327,0,2,0,47,0,12,0,11,0
demo,com.itp.factory.management.controller,CategoryController,260,3,16,0,47,1,15,1,7,1
demo,com.itp.factory.management.controller,DeliveryInfoController,177,3,8,0,32,1,9,1,5,1
demo,com.itp.factory.management.controller,SupplierController,208,3,10,0,38,1,11,1,6,1
demo,com.itp.factory.management.resource,SupplierUpdateResource,31,0,0,0,13,0,9,0,9,0
demo,com.itp.factory.management.resource,ValidateResource,59,0,0,0,25,0,17,0,17,0
demo,com.itp.factory.management.resource,CategoryAddResource,24,0,0,0,10,0,7,0,7,0
demo,com.itp.factory.management.resource,SuccessAndErrorDetailsResource,39,0,0,0,18,0,9,0,9,0
demo,com.itp.factory.management.resource,DeliveryInfoAddResource,17,0,0,0,7,0,5,0,5,0
demo,com.itp.factory.management.resource,ValidationCommon,9801,0,1822,0,682,0,1370,0,459,0
demo,com.itp.factory.management.resource,SupplierAddResource,24,0,0,0,10,0,7,0,7,0
demo,com.itp.factory.management.resource,CategoryUpdateResource,38,0,0,0,16,0,11,0,11,0
demo,com.itp.factory.management.resource,DeliveryInfoUpdateResource,24,0,0,0,10,0,7,0,7,0
demo,com.itp.factory.management.responcehandler,CommonResponseHandler,39,0,0,0,18,0,9,0,9,0
demo,com.itp.factory.management.enums,ServiceStatus,69,0,0,0,7,0,2,0,2,0
demo,com.itp.factory.management.enums,CodeType,29,0,0,0,3,0,2,0,2,0
demo,com.itp.factory.management.enums,ServiceEntity,79,0,0,0,8,0,2,0,2,0
demo,com.itp.factory.management.enums,CommonStatus,0,49,0,0,0,5,0,2,0,2
demo,com.itp.factory.management.service.impl,CategoryServiceImpl,254,3,24,0,50,1,19,1,7,1
demo,com.itp.factory.management.service.impl,DeliveryInfoServiceImpl,122,3,14,0,24,1,12,1,5,1
demo,com.itp.factory.management.service.impl,SupplierServiceImpl,184,3,22,0,35,1,17,1,6,1
demo,com.itp.factory.management.config,WebConfig,0,29,0,0,0,9,0,4,0,4
demo,com.itp.factory.management.domain,Supplier,286,3,48,0,16,1,40,1,16,1
demo,com.itp.factory.management.domain,Category,295,3,54,0,18,1,43,1,16,1
demo,com.itp.factory.management.domain,DeliveryInfo,458,3,80,0,30,1,64,1,24,1
demo,com.itp.factory.management.domain,QCategory,171,0,0,0,16,0,4,0,4,0
demo,com.itp.factory.management.domain,QDeliveryInfo,177,0,0,0,17,0,4,0,4,0
demo,com.itp.factory.management.domain,QSupplier,126,0,0,0,13,0,4,0,4,0
demo,com.itp.factory.management.exception,PageableLengthException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,TenantNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,CodeUniqueException,10,0,0,0,4,0,2,0,2,0
demo,com.itp.factory.management.exception,OtherCommonException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,OptimisticLockException,10,0,0,0,4,0,2,0,2,0
demo,com.itp.factory.management.exception,NoRecordFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,UserNotFound,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,InvalidServiceIdException,10,0,0,0,4,0,2,0,2,0
demo,com.itp.factory.management.exception,ValidateRecordException,10,0,0,0,4,0,2,0,2,0
demo,com.itp.factory.management.exception,DuplicateRecordException,10,0,0,0,4,0,2,0,2,0
demo,com.itp.factory.management.exception,OtherException,48,0,0,0,20,0,9,0,9,0
demo,com.itp.factory.management.exception,RecordNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.exception,CodeCannotChangeException,4,0,0,0,2,0,1,0,1,0
demo,com.itp.factory.management.base,MessagePropertyBase,7,3,0,0,3,1,2,1,2,1
demo,com.itp.factory.management,FactoryManagementApplication,5,3,0,0,2,1,1,1,1,1
demo,com.itp.factory.management,Constants,7,0,0,0,2,0,2,0,2,0
